Epochs: 10
Batch size: 32
Optimizer: Adam
Learning rate: 0.005
Loss function: CrossEntropyLoss
Epoch: Step: Loss:
1/10, 1, 1.0714
1/10, 101, 0.5922
1/10, 201, 0.3070
1/10, 301, 0.4270
1/10, 401, 0.3624
1/10, 501, 0.5953
1/10, 601, 0.2692
1/10, 701, 0.1773
1/10, 801, 0.2391
1/10, 901, 0.3856
1/10, 1001, 0.5386
1/10, 1101, 0.3602
1/10, 1201, 0.6956
1/10, 1301, 0.3915
1/10, 1401, 0.5417
1/10, 1501, 0.3106
1/10, 1601, 0.2361
2/10, 1, 0.4643
2/10, 101, 0.4080
2/10, 201, 0.2843
2/10, 301, 0.5452
2/10, 401, 0.3523
2/10, 501, 0.3839
2/10, 601, 0.3627
2/10, 701, 0.3821
2/10, 801, 0.5633
2/10, 901, 0.3857
2/10, 1001, 0.2788
2/10, 1101, 0.4544
2/10, 1201, 0.3366
2/10, 1301, 0.7300
2/10, 1401, 0.7404
2/10, 1501, 0.4981
2/10, 1601, 0.4990
3/10, 1, 0.3792
3/10, 101, 0.1467
3/10, 201, 0.4990
3/10, 301, 0.3105
3/10, 401, 0.2386
3/10, 501, 0.2436
3/10, 601, 0.3048
3/10, 701, 0.2981
3/10, 801, 0.2344
3/10, 901, 0.2273
3/10, 1001, 0.3147
3/10, 1101, 0.3912
3/10, 1201, 0.3879
3/10, 1301, 0.3454
3/10, 1401, 0.2184
3/10, 1501, 0.3107
3/10, 1601, 0.3178
4/10, 1, 0.3029
4/10, 101, 0.5155
4/10, 201, 0.3532
4/10, 301, 0.2603
4/10, 401, 0.5859
4/10, 501, 0.2423
4/10, 601, 0.1573
4/10, 701, 0.2534
4/10, 801, 0.2765
4/10, 901, 0.3116
4/10, 1001, 0.5306
4/10, 1101, 0.1833
4/10, 1201, 0.3408
4/10, 1301, 0.2167
4/10, 1401, 0.5027
4/10, 1501, 0.2916
4/10, 1601, 0.0930
5/10, 1, 0.5653
5/10, 101, 0.3482
5/10, 201, 0.3518
5/10, 301, 0.4573
5/10, 401, 0.1988
5/10, 501, 0.2406
5/10, 601, 0.5427
5/10, 701, 0.2061
5/10, 801, 0.4261
5/10, 901, 0.4934
5/10, 1001, 0.2426
5/10, 1101, 0.1834
5/10, 1201, 0.1375
5/10, 1301, 0.2405
5/10, 1401, 0.2096
5/10, 1501, 0.4955
5/10, 1601, 0.2673
6/10, 1, 0.2970
6/10, 101, 0.1727
6/10, 201, 0.1771
6/10, 301, 0.2102
6/10, 401, 0.3453
6/10, 501, 0.2342
6/10, 601, 0.3248
6/10, 701, 0.4898
6/10, 801, 0.5604
6/10, 901, 0.0848
6/10, 1001, 0.3210
6/10, 1101, 0.3486
6/10, 1201, 0.3198
6/10, 1301, 0.4963
6/10, 1401, 1.1767
6/10, 1501, 0.7894
6/10, 1601, 0.6861
7/10, 1, 0.7040
7/10, 101, 0.6872
7/10, 201, 0.6548
7/10, 301, 0.4236
7/10, 401, 0.8497
7/10, 501, 0.5786
7/10, 601, 0.3017
7/10, 701, 0.1279
7/10, 801, 0.4364
7/10, 901, 0.2481
7/10, 1001, 0.1872
7/10, 1101, 0.5530
7/10, 1201, 0.2812
7/10, 1301, 0.2059
7/10, 1401, 0.2108
7/10, 1501, 0.4546
7/10, 1601, 0.2106
8/10, 1, 0.2456
8/10, 101, 0.5088
8/10, 201, 0.3220
8/10, 301, 0.3557
8/10, 401, 0.2524
8/10, 501, 0.2332
8/10, 601, 0.2477
8/10, 701, 0.2853
8/10, 801, 0.4772
8/10, 901, 0.3121
8/10, 1001, 0.3191
8/10, 1101, 0.2470
8/10, 1201, 0.2836
8/10, 1301, 0.4157
8/10, 1401, 0.2640
8/10, 1501, 0.2926
8/10, 1601, 0.3499
9/10, 1, 0.1791
9/10, 101, 0.2222
9/10, 201, 0.1359
9/10, 301, 0.2648
9/10, 401, 0.4378
9/10, 501, 0.1422
9/10, 601, 0.3902
9/10, 701, 0.2367
9/10, 801, 0.1966
9/10, 901, 0.1401
9/10, 1001, 0.3027
9/10, 1101, 0.2492
9/10, 1201, 0.4127
9/10, 1301, 0.1922
9/10, 1401, 0.1619
9/10, 1501, 0.1796
9/10, 1601, 0.1194
10/10, 1, 0.1415
10/10, 101, 0.1619
10/10, 201, 0.1253
10/10, 301, 0.4955
10/10, 401, 0.1703
10/10, 501, 0.0940
10/10, 601, 0.1526
10/10, 701, 0.0920
10/10, 801, 0.2624
10/10, 901, 0.2280
10/10, 1001, 0.1866
10/10, 1101, 0.2593
10/10, 1201, 0.2536
10/10, 1301, 0.6366
10/10, 1401, 0.1938
10/10, 1501, 0.2370
10/10, 1601, 0.1626
Training completed in 0 hours, 53 minutes, 48 secondsAccuracy on test set: 85.51%
True stars: 95.55%
False stars: 3.37%
Missed stars: 4.45%

True galaxies: 41.38%
False galaxies: 45.04%
Missed galaxies: 58.62%

True qso: 83.32%
False qso: 23.44%
Missed qso: 16.68%
Galaxies classified as stars: 8.88%
QSO classified as stars: 2.85%
Stars classified as galaxies: 1.23%
QSO classified as galaxies: 13.83%
Stars classified as QSO: 3.22%
Galaxies classified as QSO: 49.74%
Average star confidence: 0.78
Average galaxy confidence: 0.05
Average qso confidence: 0.17
